content_raw,headers_raw,title,year,content_text,headers_text
"<div class=""presentation-description"">Youâve built a fine Python web application and now youâre ready to share it with the world. But whatâs the best way to deploy your app in 2017?

This talk will demonstrate popular techniques for deploying Python web applications. Weâll start with a simple Flask application and expose it to the world five times over as we learn to use different tools and services available to the modern Python developer.

Specific topics covered include:

* Exposing your local dev environment with [ngrok](https://ngrok.com/)
* Using a Platform-as-a-Service (PaaS) like [Heroku](https://www.heroku.com/)
* Going âserverlessâ with [AWS Lambda](https://aws.amazon.com/lambda/)
* Configuring your own VM with [Google Compute Engine](https://cloud.google.com/compute/)
* Thinking inside the box using [Docker](https://www.docker.com/)

Weâll also briefly touch on the pros and cons of each technique to help you figure out which one is right for your app.

At the end of this talk you will have a basic understanding of how each of these techniques work and youâll be ready to try them out yourself.</div>","<p>
<b>
        Andrew T. Baker
        
      </b>
<br/>
<b>
        Friday
        3:15 p.m.–3:45 p.m.
        in
        Portland Ballroom 252â253
      </b>
</p>","<a href=""/2017/schedule/presentation/779/"" id=""presentation-779"">
        5 ways to deploy your Python web app in 2017
      </a>",2017,"You’ve built a fine Python web application and now you’re ready to share it with the world. But what’s the best way to deploy your app in 2017?

This talk will demonstrate popular techniques for deploying Python web applications. We’ll start with a simple Flask application and expose it to the world five times over as we learn to use different tools and services available to the modern Python developer.

Specific topics covered include:

* Exposing your local dev environment with [ngrok]
* Using a Platform-as-a-Service (PaaS) like [Heroku]
* Going ’serverless’ with [AWS Lambda]
* Configuring your own VM with [Google Compute Engine]
* Thinking inside the box using [Docker]

We’ll also briefly touch on the pros and cons of each technique to help you figure out which one is right for your app.

At the end of this talk you will have a basic understanding of how each of these techniques work and you’ll be ready to try them out yourself.",Andrew T. Baker Friday 3:15 p.m.3:45 p.m. in Portland Ballroom 252253
"<div class=""presentation-description"">Deep learning's explosion of spectacular results over the past few years may make it appear esoteric and daunting, but in reality, if you are familiar with traditional machine learning, you're more than ready to start exploring deep learning. This talk aims to gently bridge the divide by demonstrating how deep learning operates on core machine learning concepts and getting attendees started coding deep neural networks using Google's TensorFlow library.</div>","<p>
<b>
        Michelle Fullwood
        
      </b>
<br/>
<b>
        Friday
        4:15 p.m.–5 p.m.
        in
        Oregon Ballroom 203â204
      </b>
</p>","<a href=""/2017/schedule/presentation/2/"" id=""presentation-2"">
        A gentle introduction to deep learning with TensorFlow
      </a>",2017,"Deep learning’s explosion of spectacular results over the past few years may make it appear esoteric and daunting, but in reality, if you are familiar with traditional machine learning, you’re more than ready to start exploring deep learning. This talk aims to gently bridge the divide by demonstrating how deep learning operates on core machine learning concepts and getting attendees started coding deep neural networks using Google’s TensorFlow library.",Michelle Fullwood Friday 4:15 p.m.5 p.m. in Oregon Ballroom 203204
"<div class=""presentation-description"">smtpd.py has been in the standard library for many years.  It's been a common tool for deploying SMTP and LMTP servers that handle email-based communication in Python, providing both basic protocol implementations and a fundamental module for higher level tools, such as lazr.smtptest for testing email clients.  Based on asyncore and asynchat, smtpd.py is showing its age, and its API is unwieldy.

Fortunately, there's a new alternative available.  aiosmtpd is a modern reinvention based on asyncio, with all the improvements that come along with such a new implementation.  It provides servers for both the SMTP and LMTP protocols, as well as a higher level ""controller"" API for testing SMTP and LMTP clients.  It exposes a much better API for customization, allowing the user to associate a simple ""handler"" to process incoming messages without having to worry about the details of the protocols, and it provides some useful hooks for subclassing.

This talk will describe the purpose and history of smtpd.py and aiosmtpd, show how users can extend the servers and implement specialized handlers, and show how applications can use the testing API for ensuring that their email sending applications do the right things.  Examples will be taken from GNU Mailman 3, which uses aiosmtpd extensively.</div>","<p>
<b>
        Barry Warsaw
        
      </b>
<br/>
<b>
        Sunday
        2:30 p.m.–3 p.m.
        in
        Oregon Ballroom 203â204
      </b>
</p>","<a href=""/2017/schedule/presentation/147/"" id=""presentation-147"">
        aiosmtpd - A better asyncio based SMTP server
      </a>",2017,"smtpd.py has been in the standard library for many years.  It’s been a common tool for deploying SMTP and LMTP servers that handle email-based communication in Python, providing both basic protocol implementations and a fundamental module for higher level tools, such as lazr.smtptest for testing email clients.  Based on asyncore and asynchat, smtpd.py is showing its age, and its API is unwieldy.

Fortunately, there’s a new alternative available.  aiosmtpd is a modern reinvention based on asyncio, with all the improvements that come along with such a new implementation.  It provides servers for both the SMTP and LMTP protocols, as well as a higher level ""controller"" API for testing SMTP and LMTP clients.  It exposes a much better API for customization, allowing the user to associate a simple ""handler"" to process incoming messages without having to worry about the details of the protocols, and it provides some useful hooks for subclassing.

This talk will describe the purpose and history of smtpd.py and aiosmtpd, show how users can extend the servers and implement specialized handlers, and show how applications can use the testing API for ensuring that their email sending applications do the right things.  Examples will be taken from GNU Mailman 3, which uses aiosmtpd extensively.",Barry Warsaw Sunday 2:30 p.m.3 p.m. in Oregon Ballroom 203204
"<div class=""presentation-description"">Music is mainly an artistic act of inspired creation and is unlike some of the traditional math problems.  Music cannot be solved by a simple set of formulae. The most interesting and challenging part is producing unique music without infringing the copyright. The generated music has to sound good, and what sounds good is very subjective and varies from culture to culture.

Artificial Neural Network/Deep Learning has a wide range of applications, such as in Image processing, Natural language processing, Time series prediction, etc. But what about its usage in art? Could we use deep learning to create music? 

This talk is about how deep learning models were used to produce music - catering particularly to Bollywood.

This talk would show how an exquisite piece of art i.e. music can be generated using deep learning model which helps in automated feature extraction. In order to automate the music generation, the model must be able to remember the learned features over the longer period of time, this is achieved by a special type of Recurrent Neural Network (RNN) called as LSTM (Long Short Term Memory) network. 

Implementation of such complex model can be made much easier using inbuilt Python libraries such as Keras with Theano as backend. It allows for easy and fast prototyping. Packages like numpy and scipy are being used for easier mathematical computation of input vectors and for reading/writing the WAV files respectively. The neural network architecture makes use of numerous amount of music samples to train the model. After an adequate number of iterations and training time, this model generates music that is unique and original. 

In this talk, steps involved in preprocessing of data, training the model, testing the model and generating the music from the trained model will be discussed. This talk will also cover some of the challenges and tradeoffs made for algorithmic music generation. 
</div>","<p>
<b>
        Padmaja V Bhagwat
        
      </b>
<br/>
<b>
        Friday
        5:10 p.m.–5:40 p.m.
        in
        Portland Ballroom 251 &amp; 258
      </b>
</p>","<a href=""/2017/schedule/presentation/540/"" id=""presentation-540"">
        Algorithmic Music Generation
      </a>",2017,"Music is mainly an artistic act of inspired creation and is unlike some of the traditional math problems.  Music cannot be solved by a simple set of formulae. The most interesting and challenging part is producing unique music without infringing the copyright. The generated music has to sound good, and what sounds good is very subjective and varies from culture to culture.

Artificial Neural Network/Deep Learning has a wide range of applications, such as in Image processing, Natural language processing, Time series prediction, etc. But what about its usage in art? Could we use deep learning to create music? 

This talk is about how deep learning models were used to produce music - catering particularly to Bollywood.

This talk would show how an exquisite piece of art i.e. music can be generated using deep learning model which helps in automated feature extraction. In order to automate the music generation, the model must be able to remember the learned features over the longer period of time, this is achieved by a special type of Recurrent Neural Network (RNN) called as LSTM (Long Short Term Memory) network. 

Implementation of such complex model can be made much easier using inbuilt Python libraries such as Keras with Theano as backend. It allows for easy and fast prototyping. Packages like numpy and scipy are being used for easier mathematical computation of input vectors and for reading/writing the WAV files respectively. The neural network architecture makes use of numerous amount of music samples to train the model. After an adequate number of iterations and training time, this model generates music that is unique and original. 

In this talk, steps involved in preprocessing of data, training the model, testing the model and generating the music from the trained model will be discussed. This talk will also cover some of the challenges and tradeoffs made for algorithmic music generation.",Padmaja V Bhagwat Friday 5:10 p.m.5:40 p.m. in Portland Ballroom 251 & 258
"<div class=""presentation-description"">Reinforcement learning (RL) is a subfield of machine learning focused on building agents: software that can robustly achieve a desired objective under varying states of the world. This introduction will provide you with an overview of RL and tools to build your own agents.  In this talk, we will provide an overview of terminology in reinforcement learning and a Jupyter Notebook outlining basic algorithms to learn 'policies', strategies for an agent, and visualize them with numpy, pandas, and seaborn.  Newer developments in reinforcement learning apply deep learning to improve performance.  We will further discuss deep reinforcement learning and how to use deep learning libraries, such as TensorFlow or Theano, with the latest RL libraries: [OpenAI Gym][1], [OpenAI Universe](https://universe.openai.com), and [DeepMind Lab](https://github.com/deepmind/lab).

  [1]: https://gym.openai.com

</div>","<p>
<b>
        Jessica Forde
        
      </b>
<br/>
<b>
        Saturday
        1:40 p.m.–2:25 p.m.
        in
        Portland Ballroom 252â253
      </b>
</p>","<a href=""/2017/schedule/presentation/708/"" id=""presentation-708"">
        An Introduction to Reinforcement Learning
      </a>",2017,"Reinforcement learning (RL) is a subfield of machine learning focused on building agents: software that can robustly achieve a desired objective under varying states of the world. This introduction will provide you with an overview of RL and tools to build your own agents.  In this talk, we will provide an overview of terminology in reinforcement learning and a Jupyter Notebook outlining basic algorithms to learn ’policies’, strategies for an agent, and visualize them with numpy, pandas, and seaborn.  Newer developments in reinforcement learning apply deep learning to improve performance.  We will further discuss deep reinforcement learning and how to use deep learning libraries, such as TensorFlow or Theano, with the latest RL libraries: [OpenAI Gym][1], [OpenAI Universe], and [DeepMind Lab].

  [1]: https://gym.openai.com",Jessica Forde Saturday 1:40 p.m.2:25 p.m. in Portland Ballroom 252253
"<div class=""presentation-description"">The talk overviews async/await, asynchronous generators and comprehensions in Python 3.6 and the asyncio module. We'll discuss when and how asyncio should be used in a modern applications and services, what is uvloop, and what asyncio frameworks and libraries one should use. I'll share our ideas about where asyncio is headed and what to expect in Python 3.7.</div>","<p>
<b>
        Yury Selivanov
        
      </b>
<br/>
<b>
        Sunday
        1:10 p.m.–1:40 p.m.
        in
        Oregon Ballroom 203â204
      </b>
</p>","<a href=""/2017/schedule/presentation/511/"" id=""presentation-511"">
        async/await and asyncio in Python 3.6 and beyond
      </a>",2017,"The talk overviews async/await, asynchronous generators and comprehensions in Python 3.6 and the asyncio module. We’ll discuss when and how asyncio should be used in a modern applications and services, what is uvloop, and what asyncio frameworks and libraries one should use. I’ll share our ideas about where asyncio is headed and what to expect in Python 3.7.",Yury Selivanov Sunday 1:10 p.m.1:40 p.m. in Oregon Ballroom 203204
"<div class=""presentation-description"">With the introduction of the asyncio package in Python 3.4, you can hear lots of people talking about asynchronous programming, most in a favorable way, some not so much. In this talk, I will tell you what this async fever is about and what can it do for you that regular Python can't, not only with asyncio, but also with other frameworks that existed long before it.</div>","<p>
<b>
        Miguel Grinberg
        
      </b>
<br/>
<b>
        Sunday
        1:50 p.m.–2:20 p.m.
        in
        Oregon Ballroom 203â204
      </b>
</p>","<a href=""/2017/schedule/presentation/102/"" id=""presentation-102"">
        Asynchronous Python for the Complete Beginner
      </a>",2017,"With the introduction of the asyncio package in Python 3.4, you can hear lots of people talking about asynchronous programming, most in a favorable way, some not so much. In this talk, I will tell you what this async fever is about and what can it do for you that regular Python can’t, not only with asyncio, but also with other frameworks that existed long before it.",Miguel Grinberg Sunday 1:50 p.m.2:20 p.m. in Oregon Ballroom 203204
"<div class=""presentation-description"">AWS is one of the best-known cloud vendors.
Using the Web UI is fine when starting out,
but automating cloud operations is important.
Boto3 provides a great Pythonic API to AWS,
but using it correctly can be subtle.

The talk will cover how to automate AMI builds,
building Cloud Formation Templates and
automating S3 bucket management.
</div>","<p>
<b>
        Moshe Zadka
        
      </b>
<br/>
<b>
        Saturday
        10:50 a.m.–11:20 a.m.
        in
        Portland Ballroom 252â253
      </b>
</p>","<a href=""/2017/schedule/presentation/128/"" id=""presentation-128"">
        Automate AWS With Python
      </a>",2017,"AWS is one of the best-known cloud vendors.
Using the Web UI is fine when starting out,
but automating cloud operations is important.
Boto3 provides a great Pythonic API to AWS,
but using it correctly can be subtle.

The talk will cover how to automate AMI builds,
building Cloud Formation Templates and
automating S3 bucket management.",Moshe Zadka Saturday 10:50 a.m.11:20 a.m. in Portland Ballroom 252253
"<div class=""presentation-description"">Designing a good command line tool is challenging. Command line tools look archaic compared to modern graphical interfaces, discoverability is a big issue for command line tools, proactive help is hard to implement. This talk will cover a set of specific techniques to help alleviate those challenges.

How did [pgcli](http://pgcli.com) and [mycli](http://mycli.net) overcome these problems? We will cover specific examples where command line apps shine. The examples will be drawn from pgcli, mycli and [bpython](http://bpython-interpreter.org/). This talk will suggest libraries and show how they can help you implement a wonderful command line interface. 

The libraries covered in this talk include [python-prompt-toolkit](https://github.com/jonathanslenders/python-prompt-toolkit),  [pygments](http://pygments.org/), [click](http://click.pocoo.org/), [fuzzyfind](https://github.com/amjith/fuzzyfinder).

The goal of the talk is to distil the ideas that exist in successful command line applications as guidelines for building powerful command line applications.
</div>","<p>
<b>
        Amjith Ramanujam
        
      </b>
<br/>
<b>
        Saturday
        11:30 a.m.–noon
        in
        Portland Ballroom 252â253
      </b>
</p>","<a href=""/2017/schedule/presentation/518/"" id=""presentation-518"">
        Awesome Command Line Tools
      </a>",2017,"Designing a good command line tool is challenging. Command line tools look archaic compared to modern graphical interfaces, discoverability is a big issue for command line tools, proactive help is hard to implement. This talk will cover a set of specific techniques to help alleviate those challenges.

How did [pgcli] and [mycli] overcome these problems? We will cover specific examples where command line apps shine. The examples will be drawn from pgcli, mycli and [bpython]. This talk will suggest libraries and show how they can help you implement a wonderful command line interface. 

The libraries covered in this talk include [python-prompt-toolkit],  [pygments], [click], [fuzzyfind].

The goal of the talk is to distil the ideas that exist in successful command line applications as guidelines for building powerful command line applications.",Amjith Ramanujam Saturday 11:30 a.m.noon in Portland Ballroom 252253
"<div class=""presentation-description"">You've got some data, and now you want to analyze it with Python. You're on your way to greatness! Now the problem comes: do I do the t-test? Chi-squared test? How do I decide? In this talk, inspired by many Pythonista Bayesians (@jakevdp, @allendowney, @twiecki, @fonnesbeck) before, I will show you how you can take common statistical decision problems, formulate them as a Bayesian analysis problem, and use PyMC3 as your workhorse tool for gaining insights. This talk will be math-light and code-heavy, and if you download the slides, you'll have a simple template for more complex Bayesian analysis down the road!</div>","<p>
<b>
        Eric J. Ma
        
      </b>
<br/>
<b>
        Sunday
        2:30 p.m.–3 p.m.
        in
        Portland Ballroom 251 &amp; 258
      </b>
</p>","<a href=""/2017/schedule/presentation/62/"" id=""presentation-62"">
        Bayesian Statistical Analysis with Python
      </a>",2017,"You’ve got some data, and now you want to analyze it with Python. You’re on your way to greatness! Now the problem comes: do I do the t-test? Chi-squared test? How do I decide? In this talk, inspired by many Pythonista Bayesians (@jakevdp, @allendowney, @twiecki, @fonnesbeck) before, I will show you how you can take common statistical decision problems, formulate them as a Bayesian analysis problem, and use PyMC3 as your workhorse tool for gaining insights. This talk will be math-light and code-heavy, and if you download the slides, you’ll have a simple template for more complex Bayesian analysis down the road!",Eric J. Ma Sunday 2:30 p.m.3 p.m. in Portland Ballroom 251 & 258
